artist,album,rank,year,reviewer_url
Burial,Rival Dealer,83,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Girls,"Father, Son, Holy Ghost",82,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Solange,When I Get Home,81,2019,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Aphex Twin,Syro,80,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Tame Impala,Currents,79,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kurt Vile,Smoke Ring for My Halo,78,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Four Tet,There Is Love in You,77,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Arcade Fire,The Suburbs,76,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
The Weeknd,House of Balloons,75,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
SOPHIE,OIL OF EVERY PEARL’s UN-INSIDES,74,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Cardi B,Invasion of Privacy,73,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Father John Misty,"I Love You, Honeybear",72,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Robyn,Honey,71,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Perfume Genius,No Shape,70,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Drake,"If You're Reading This, It's Too Late",69,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Flying Lotus,Cosmogramma,68,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",67,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Fever Ray,Plunge,66,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Future,Dirty Sprite 2,65,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Mitski,Be the Cowboy,64,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Danny Brown,XXX,63,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Grouper,Ruins,62,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Arca,Arca,61,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
King Krule,The OOZ,60,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Taylor Swift,Red,59,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kamasi Washington,The Epic,58,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kendrick Lamar,DAMN.,57,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Björk,Vulnicura,56,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
St. Vincent,Strange Mercy,55,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Young Thug,Barter 6,54,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jlin,Black Origami,53,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
LCD Soundsystem,This Is Happening,52,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
DJ Koze,Knock Knock,51,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Grimes,Visions,50,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Oneohtrix Point Never,Replica,49,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
ANOHNI,Hopelessness,48,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Carly Rae Jepsen,E•MO•TION,47,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
The Knife,Shaking the Habitual,46,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Mount Eerie,A Crow Looked at Me,45,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
A Tribe Called Quest,We Got It From Here... Thank You 4 Your Service,44,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Sky Ferreira,"Night Time, My Time",43,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Erykah Badu,New Amerykah Part Two: Return of the Ankh,42,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Beyoncé,Lemonade,41,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Charli XCX,Pop 2,40,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Bill Callahan,Apocalypse,39,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Tierra Whack,Whack World,38,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
David Bowie,Blackstar,37,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Rosalía,El Mal Querer,36,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Blood Orange,Cupid Deluxe,35,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Vince Staples,Summertime '06,34,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Big Thief,U.F.O.F.,33,2019,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Bon Iver,Bon Iver,32,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Beyoncé,4,31,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Mitski,Puberty 2,30,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Deerhunter,Halcyon Digest,29,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
FKA twigs,LP1,28,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Earl Sweatshirt,Some Rap Songs,27,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Angel Olsen,Burn Your Fire for No Witness,26,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Jamie xx,In Colour,25,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
SZA,CTRL,24,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
